数据包编号：1 总耗时：157 裁剪：45 旋转：32 toYUV420：12 编码：68
数据包编号：25 总耗时：47 裁剪：19 旋转：15 toYUV420：6 编码：7
数据包编号：26 总耗时：47 裁剪：19 旋转：15 toYUV420：6 编码：7
数据包编号：27 总耗时：47 裁剪：21 旋转：15 toYUV420：6 编码：5
数据包编号：28 总耗时：55 裁剪：19 旋转：15 toYUV420：7 编码：14
数据包编号：29 总耗时：49 裁剪：22 旋转：15 toYUV420：6 编码：6
数据包编号：30 总耗时：48 裁剪：21 旋转：15 toYUV420：7 编码：5
数据包编号：31 总耗时：49 裁剪：22 旋转：15 toYUV420：6 编码：6
数据包编号：32 总耗时：49 裁剪：23 旋转：15 toYUV420：6 编码：5
数据包编号：33 总耗时：49 裁剪：19 旋转：15 toYUV420：6 编码：9
数据包编号：34 总耗时：48 裁剪：21 旋转：16 toYUV420：6 编码：5
数据包编号：35 总耗时：50 裁剪：21 旋转：14 toYUV420：7 编码：8
数据包编号：36 总耗时：46 裁剪：20 旋转：15 toYUV420：6 编码：5
数据包编号：37 总耗时：49 裁剪：22 旋转：15 toYUV420：6 编码：6
数据包编号：38 总耗时：48 裁剪：21 旋转：15 toYUV420：6 编码：6
数据包编号：39 总耗时：47 裁剪：19 旋转：16 toYUV420：6 编码：6
数据包编号：40 总耗时：47 裁剪：19 旋转：16 toYUV420：6 编码：6
数据包编号：41 总耗时：50 裁剪：22 旋转：15 toYUV420：7 编码：6
数据包编号：42 总耗时：48 裁剪：22 旋转：15 toYUV420：6 编码：5
数据包编号：43 总耗时：49 裁剪：19 旋转：15 toYUV420：6 编码：9
数据包编号：44 总耗时：47 裁剪：20 旋转：15 toYUV420：6 编码：6
数据包编号：45 总耗时：47 裁剪：19 旋转：15 toYUV420：6 编码：7
数据包编号：46 总耗时：49 裁剪：22 旋转：15 toYUV420：6 编码：6
数据包编号：47 总耗时：58 裁剪：22 旋转：15 toYUV420：6 编码：15
数据包编号：48 总耗时：48 裁剪：22 旋转：15 toYUV420：6 编码：5
数据包编号：49 总耗时：50 裁剪：22 旋转：15 toYUV420：6 编码：7
数据包编号：50 总耗时：48 裁剪：20 旋转：15 toYUV420：6 编码：7
数据包编号：51 总耗时：50 裁剪：23 旋转：15 toYUV420：6 编码：6
数据包编号：52 总耗时：49 裁剪：22 旋转：15 toYUV420：6 编码：6
数据包编号：53 总耗时：51 裁剪：19 旋转：15 toYUV420：6 编码：11
数据包编号：54 总耗时：50 裁剪：22 旋转：15 toYUV420：6 编码：7
数据包编号：55 总耗时：47 裁剪：19 旋转：15 toYUV420：6 编码：7
数据包编号：56 总耗时：47 裁剪：20 旋转：15 toYUV420：6 编码：6
数据包编号：57 总耗时：46 裁剪：19 旋转：15 toYUV420：6 编码：6
数据包编号：58 总耗时：47 裁剪：18 旋转：16 toYUV420：6 编码：7
数据包编号：59 总耗时：52 裁剪：22 旋转：15 toYUV420：6 编码：9
数据包编号：60 总耗时：49 裁剪：21 旋转：15 toYUV420：6 编码：7
数据包编号：61 总耗时：52 裁剪：19 旋转：15 toYUV420：12 编码：6
数据包编号：62 总耗时：49 裁剪：22 旋转：15 toYUV420：6 编码：6
数据包编号：63 总耗时：47 裁剪：19 旋转：15 toYUV420：6 编码：7
数据包编号：64 总耗时：47 裁剪：21 旋转：14 toYUV420：7 编码：5
数据包编号：65 总耗时：49 裁剪：20 旋转：15 toYUV420：6 编码：8
数据包编号：66 总耗时：48 裁剪：22 旋转：14 toYUV420：7 编码：5
数据包编号：67 总耗时：50 裁剪：19 旋转：16 toYUV420：7 编码：8
数据包编号：68 总耗时：48 裁剪：20 旋转：15 toYUV420：6 编码：7
数据包编号：69 总耗时：51 裁剪：22 旋转：15 toYUV420：8 编码：6
数据包编号：70 总耗时：52 裁剪：23 旋转：15 toYUV420：6 编码：8
数据包编号：71 总耗时：50 裁剪：22 旋转：15 toYUV420：7 编码：6
数据包编号：72 总耗时：50 裁剪：22 旋转：15 toYUV420：7 编码：6
数据包编号：73 总耗时：48 裁剪：21 旋转：15 toYUV420：6 编码：6
数据包编号：74 总耗时：53 裁剪：20 旋转：15 toYUV420：7 编码：11
数据包编号：75 总耗时：48 裁剪：21 旋转：14 toYUV420：7 编码：6
数据包编号：76 总耗时：50 裁剪：22 旋转：15 toYUV420：7 编码：6
数据包编号：77 总耗时：50 裁剪：22 旋转：14 toYUV420：7 编码：7
数据包编号：78 总耗时：48 裁剪：21 旋转：15 toYUV420：7 编码：5
数据包编号：79 总耗时：48 裁剪：21 旋转：15 toYUV420：6 编码：6
数据包编号：80 总耗时：48 裁剪：20 旋转：15 toYUV420：6 编码：7
数据包编号：81 总耗时：47 裁剪：19 旋转：15 toYUV420：6 编码：7
数据包编号：82 总耗时：48 裁剪：21 旋转：15 toYUV420：6 编码：6
数据包编号：83 总耗时：47 裁剪：19 旋转：15 toYUV420：7 编码：6
数据包编号：84 总耗时：50 裁剪：23 旋转：15 toYUV420：7 编码：5
数据包编号：85 总耗时：51 裁剪：20 旋转：16 toYUV420：6 编码：9
数据包编号：86 总耗时：47 裁剪：20 旋转：15 toYUV420：6 编码：6
数据包编号：87 总耗时：55 裁剪：23 旋转：14 toYUV420：7 编码：11
数据包编号：88 总耗时：50 裁剪：22 旋转：15 toYUV420：7 编码：6
数据包编号：89 总耗时：51 裁剪：20 旋转：15 toYUV420：7 编码：9
数据包编号：90 总耗时：50 裁剪：22 旋转：15 toYUV420：6 编码：7
数据包编号：91 总耗时：55 裁剪：22 旋转：15 toYUV420：9 编码：9
数据包编号：92 总耗时：50 裁剪：22 旋转：14 toYUV420：7 编码：7
数据包编号：93 总耗时：49 裁剪：21 旋转：15 toYUV420：6 编码：7
数据包编号：94 总耗时：50 裁剪：20 旋转：15 toYUV420：7 编码：8
数据包编号：95 总耗时：51 裁剪：21 旋转：15 toYUV420：6 编码：9
数据包编号：96 总耗时：49 裁剪：21 旋转：16 toYUV420：6 编码：6
数据包编号：97 总耗时：53 裁剪：23 旋转：14 toYUV420：7 编码：9
数据包编号：98 总耗时：50 裁剪：22 旋转：15 toYUV420：7 编码：6
数据包编号：99 总耗时：51 裁剪：20 旋转：16 toYUV420：6 编码：9
数据包编号：100 总耗时：49 裁剪：21 旋转：15 toYUV420：6 编码：7
数据包编号：101 总耗时：49 裁剪：22 旋转：15 toYUV420：7 编码：5
数据包编号：102 总耗时：49 裁剪：19 旋转：16 toYUV420：7 编码：7
数据包编号：103 总耗时：51 裁剪：23 旋转：16 toYUV420：6 编码：6
数据包编号：104 总耗时：49 裁剪：20 旋转：15 toYUV420：6 编码：8
数据包编号：105 总耗时：50 裁剪：22 旋转：15 toYUV420：7 编码：6
数据包编号：106 总耗时：49 裁剪：22 旋转：14 toYUV420：7 编码：6
数据包编号：107 总耗时：49 裁剪：20 旋转：15 toYUV420：7 编码：7
数据包编号：108 总耗时：49 裁剪：21 旋转：15 toYUV420：6 编码：7
数据包编号：109 总耗时：49 裁剪：20 旋转：15 toYUV420：8 编码：6
数据包编号：110 总耗时：48 裁剪：20 旋转：15 toYUV420：7 编码：6
数据包编号：111 总耗时：51 裁剪：20 旋转：17 toYUV420：6 编码：8
数据包编号：112 总耗时：49 裁剪：21 旋转：15 toYUV420：7 编码：6
数据包编号：113 总耗时：48 裁剪：21 旋转：14 toYUV420：7 编码：6
数据包编号：114 总耗时：48 裁剪：20 旋转：15 toYUV420：6 编码：7
数据包编号：115 总耗时：49 裁剪：21 旋转：14 toYUV420：8 编码：6
数据包编号：116 总耗时：49 裁剪：20 旋转：15 toYUV420：7 编码：7
数据包编号：117 总耗时：48 裁剪：21 旋转：15 toYUV420：6 编码：6
数据包编号：118 总耗时：50 裁剪：21 旋转：14 toYUV420：7 编码：8
数据包编号：119 总耗时：48 裁剪：21 旋转：15 toYUV420：7 编码：5
数据包编号：120 总耗时：50 裁剪：23 旋转：14 toYUV420：7 编码：6
数据包编号：121 总耗时：49 裁剪：22 旋转：15 toYUV420：6 编码：6
数据包编号：122 总耗时：50 裁剪：19 旋转：15 toYUV420：9 编码：7
数据包编号：123 总耗时：52 裁剪：22 旋转：15 toYUV420：7 编码：8
数据包编号：124 总耗时：48 裁剪：21 旋转：16 toYUV420：6 编码：5
数据包编号：125 总耗时：52 裁剪：22 旋转：15 toYUV420：7 编码：8
数据包编号：126 总耗时：57 裁剪：22 旋转：15 toYUV420：7 编码：13
数据包编号：127 总耗时：51 裁剪：23 旋转：15 toYUV420：7 编码：6
数据包编号：128 总耗时：56 裁剪：19 旋转：14 toYUV420：17 编码：6
数据包编号：129 总耗时：51 裁剪：20 旋转：15 toYUV420：7 编码：9
数据包编号：130 总耗时：49 裁剪：22 旋转：15 toYUV420：7 编码：5
数据包编号：131 总耗时：57 裁剪：22 旋转：15 toYUV420：7 编码：13
数据包编号：132 总耗时：53 裁剪：21 旋转：16 toYUV420：6 编码：10
数据包编号：133 总耗时：51 裁剪：23 旋转：14 toYUV420：7 编码：7
数据包编号：134 总耗时：52 裁剪：21 旋转：16 toYUV420：7 编码：8
数据包编号：135 总耗时：55 裁剪：23 旋转：15 toYUV420：6 编码：11
数据包编号：136 总耗时：44 裁剪：16 旋转：15 toYUV420：7 编码：6
数据包编号：137 总耗时：51 裁剪：22 旋转：15 toYUV420：7 编码：7
数据包编号：138 总耗时：48 裁剪：21 旋转：15 toYUV420：7 编码：5
数据包编号：139 总耗时：48 裁剪：20 旋转：15 toYUV420：6 编码：7
数据包编号：140 总耗时：51 裁剪：24 旋转：15 toYUV420：7 编码：5
数据包编号：141 总耗时：53 裁剪：23 旋转：14 toYUV420：7 编码：9
数据包编号：142 总耗时：51 裁剪：21 旋转：15 toYUV420：7 编码：8
数据包编号：143 总耗时：48 裁剪：20 旋转：16 toYUV420：6 编码：6
数据包编号：144 总耗时：56 裁剪：20 旋转：15 toYUV420：7 编码：14
数据包编号：145 总耗时：52 裁剪：22 旋转：15 toYUV420：6 编码：9
数据包编号：146 总耗时：49 裁剪：21 旋转：16 toYUV420：6 编码：6
数据包编号：147 总耗时：51 裁剪：19 旋转：15 toYUV420：7 编码：10
数据包编号：148 总耗时：56 裁剪：22 旋转：15 toYUV420：7 编码：12
数据包编号：149 总耗时：48 裁剪：21 旋转：15 toYUV420：7 编码：5
数据包编号：150 总耗时：49 裁剪：21 旋转：15 toYUV420：7 编码：6
数据包编号：151 总耗时：47 裁剪：20 旋转：15 toYUV420：7 编码：5
数据包编号：152 总耗时：52 裁剪：19 旋转：15 toYUV420：7 编码：11
数据包编号：153 总耗时：50 裁剪：22 旋转：15 toYUV420：6 编码：7
数据包编号：154 总耗时：48 裁剪：20 旋转：14 toYUV420：7 编码：7
数据包编号：155 总耗时：49 裁剪：21 旋转：15 toYUV420：6 编码：7
数据包编号：156 总耗时：52 裁剪：24 旋转：16 toYUV420：6 编码：6
数据包编号：157 总耗时：53 裁剪：21 旋转：14 toYUV420：8 编码：10
数据包编号：158 总耗时：50 裁剪：22 旋转：15 toYUV420：6 编码：7
数据包编号：159 总耗时：50 裁剪：20 旋转：15 toYUV420：8 编码：7
数据包编号：160 总耗时：54 裁剪：21 旋转：15 toYUV420：7 编码：11
数据包编号：161 总耗时：47 裁剪：20 旋转：15 toYUV420：6 编码：6
数据包编号：162 总耗时：51 裁剪：20 旋转：15 toYUV420：7 编码：9
数据包编号：163 总耗时：49 裁剪：22 旋转：15 toYUV420：6 编码：6
数据包编号：164 总耗时：49 裁剪：21 旋转：14 toYUV420：7 编码：7
数据包编号：165 总耗时：48 裁剪：21 旋转：15 toYUV420：6 编码：6
数据包编号：166 总耗时：56 裁剪：20 旋转：14 toYUV420：14 编码：8
数据包编号：167 总耗时：50 裁剪：22 旋转：15 toYUV420：7 编码：6
数据包编号：168 总耗时：51 裁剪：21 旋转：14 toYUV420：7 编码：9
数据包编号：169 总耗时：52 裁剪：19 旋转：16 toYUV420：10 编码：7
数据包编号：170 总耗时：49 裁剪：22 旋转：14 toYUV420：7 编码：6
数据包编号：171 总耗时：47 裁剪：19 旋转：15 toYUV420：7 编码：6
数据包编号：172 总耗时：49 裁剪：21 旋转：15 toYUV420：6 编码：7
数据包编号：173 总耗时：48 裁剪：20 旋转：15 toYUV420：6 编码：7
数据包编号：174 总耗时：48 裁剪：20 旋转：15 toYUV420：7 编码：6
数据包编号：175 总耗时：50 裁剪：20 旋转：15 toYUV420：6 编码：9
数据包编号：176 总耗时：52 裁剪：22 旋转：15 toYUV420：7 编码：8
数据包编号：177 总耗时：50 裁剪：21 旋转：16 toYUV420：6 编码：7
数据包编号：178 总耗时：49 裁剪：19 旋转：17 toYUV420：7 编码：6
数据包编号：179 总耗时：47 裁剪：20 旋转：15 toYUV420：7 编码：5
数据包编号：180 总耗时：51 裁剪：19 旋转：15 toYUV420：6 编码：11
数据包编号：181 总耗时：49 裁剪：21 旋转：16 toYUV420：6 编码：6
数据包编号：182 总耗时：50 裁剪：19 旋转：16 toYUV420：6 编码：9
数据包编号：183 总耗时：56 裁剪：26 旋转：15 toYUV420：6 编码：9
数据包编号：184 总耗时：48 裁剪：21 旋转：15 toYUV420：7 编码：5
数据包编号：185 总耗时：49 裁剪：20 旋转：14 toYUV420：7 编码：8
数据包编号：186 总耗时：49 裁剪：22 旋转：15 toYUV420：6 编码：6
数据包编号：187 总耗时：51 裁剪：21 旋转：15 toYUV420：7 编码：8
数据包编号：188 总耗时：48 裁剪：20 旋转：16 toYUV420：6 编码：6
数据包编号：189 总耗时：48 裁剪：21 旋转：15 toYUV420：6 编码：6
数据包编号：190 总耗时：48 裁剪：20 旋转：15 toYUV420：6 编码：7
数据包编号：191 总耗时：50 裁剪：22 旋转：15 toYUV420：7 编码：6
数据包编号：192 总耗时：48 裁剪：21 旋转：15 toYUV420：6 编码：6
数据包编号：193 总耗时：51 裁剪：19 旋转：15 toYUV420：7 编码：10
数据包编号：194 总耗时：48 裁剪：20 旋转：15 toYUV420：6 编码：7
数据包编号：195 总耗时：51 裁剪：23 旋转：15 toYUV420：6 编码：7
数据包编号：196 总耗时：50 裁剪：20 旋转：15 toYUV420：7 编码：8
数据包编号：197 总耗时：47 裁剪：19 旋转：16 toYUV420：6 编码：6
数据包编号：198 总耗时：53 裁剪：23 旋转：14 toYUV420：9 编码：7
数据包编号：199 总耗时：49 裁剪：22 旋转：15 toYUV420：7 编码：5
数据包编号：200 总耗时：49 裁剪：21 旋转：14 toYUV420：7 编码：7
数据包编号：201 总耗时：48 裁剪：20 旋转：16 toYUV420：6 编码：6
数据包编号：202 总耗时：50 裁剪：19 旋转：15 toYUV420：7 编码：9
数据包编号：203 总耗时：50 裁剪：23 旋转：15 toYUV420：6 编码：6
数据包编号：204 总耗时：50 裁剪：20 旋转：15 toYUV420：6 编码：9
数据包编号：205 总耗时：49 裁剪：21 旋转：15 toYUV420：7 编码：6
数据包编号：206 总耗时：49 裁剪：21 旋转：15 toYUV420：6 编码：7
数据包编号：207 总耗时：50 裁剪：21 旋转：15 toYUV420：6 编码：8
数据包编号：208 总耗时：48 裁剪：21 旋转：15 toYUV420：6 编码：6
数据包编号：209 总耗时：50 裁剪：19 旋转：16 toYUV420：6 编码：9
数据包编号：210 总耗时：48 裁剪：21 旋转：15 toYUV420：6 编码：6
数据包编号：211 总耗时：51 裁剪：19 旋转：15 toYUV420：6 编码：11
数据包编号：212 总耗时：49 裁剪：22 旋转：15 toYUV420：7 编码：5
数据包编号：213 总耗时：53 裁剪：20 旋转：15 toYUV420：6 编码：12
数据包编号：214 总耗时：50 裁剪：21 旋转：16 toYUV420：6 编码：7
数据包编号：215 总耗时：49 裁剪：21 旋转：15 toYUV420：7 编码：6
数据包编号：216 总耗时：49 裁剪：21 旋转：15 toYUV420：6 编码：7
数据包编号：217 总耗时：48 裁剪：21 旋转：15 toYUV420：7 编码：5
数据包编号：218 总耗时：49 裁剪：20 旋转：15 toYUV420：6 编码：8
数据包编号：219 总耗时：49 裁剪：21 旋转：15 toYUV420：7 编码：6
数据包编号：220 总耗时：51 裁剪：19 旋转：15 toYUV420：7 编码：10
数据包编号：221 总耗时：49 裁剪：22 旋转：15 toYUV420：7 编码：5
数据包编号：222 总耗时：51 裁剪：22 旋转：15 toYUV420：7 编码：7
数据包编号：223 总耗时：53 裁剪：22 旋转：16 toYUV420：6 编码：9
数据包编号：224 总耗时：50 裁剪：23 旋转：14 toYUV420：7 编码：6
数据包编号：225 总耗时：51 裁剪：22 旋转：15 toYUV420：6 编码：8
数据包编号：226 总耗时：50 裁剪：22 旋转：15 toYUV420：7 编码：6
数据包编号：227 总耗时：49 裁剪：20 旋转：14 toYUV420：7 编码：8
数据包编号：228 总耗时：48 裁剪：21 旋转：15 toYUV420：6 编码：6
